Country,Area (km2)
Russia,13100000
China,9596961
India,3287263
Kazakhstan,2455034
Saudi Arabia,2149690
Iran,1648195
Mongolia,1564110
Indonesia,1472639
Pakistan,881913
Turkey,747272
Myanmar,676578
Afghanistan,652230
Yemen,527968
Thailand,513120
Turkmenistan,488100
Uzbekistan,447400
Iraq,438317
Japan,377930
Vietnam,331212
Malaysia,330803
Oman,309500
Philippines,300000
Laos,236800
Kyrgyzstan,199951
Syria,185180
Cambodia,181035
Bangladesh,147570
Nepal,147181
Tajikistan,143100
North Korea,120538
South Korea,100210
Jordan,89342
Azerbaijan,86600
United Arab Emirates,83600
Georgia,69000
Sri Lanka,65610
Egypt,60000
Bhutan,38394
Taiwan,36193
Armenia,29843
Kuwait,17818
Timor-Leste,14874
Qatar,11586
Lebanon,10452
Israel,22072
Palestine,6220
Brunei,5765
Bahrain,760
Singapore,697
Maldives,300
